Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2025-12-21,"Pet Sematary",5.11a,"Tried 3 times",https://www.mountainproject.com/route/106768073/pet-sematary,1,"Tennessee > Obed & Clear Creek > South Clear Creek > Stephen King Library",2.8,-1,Lead,Fell/Hung,Sport,,40,4600
2025-12-21,Christine,5.10a,,https://www.mountainproject.com/route/106099081/christine,1,"Tennessee > Obed & Clear Creek > South Clear Creek > Stephen King Library",2.9,-1,,,Sport,,80,2600
2025-12-20,Spawn,5.10b/c,"Tough fight for me",https://www.mountainproject.com/route/106111639/spawn,1,"Tennessee > Obed & Clear Creek > South Clear Creek > Image Wall",3.6,-1,Lead,Onsight,Sport,,90,3100
2025-12-20,"Comic Relief Left",5.8+,,https://www.mountainproject.com/route/106099033/comic-relief-left,1,"Tennessee > Obed & Clear Creek > South Clear Creek > Image Wall",1.8,-1,Lead,Onsight,Sport,,30,2200
2025-12-19,"In Pursuit of Excellence",5.9+,"I like having a 5",https://www.mountainproject.com/route/105902833/in-pursuit-of-excellence,1,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",3.7,-1,Lead,Fell/Hung,Trad,,90,2500
2025-12-19,"Jay Walker",5.7,,https://www.mountainproject.com/route/105888375/jay-walker,1,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",3.0,4,Lead,Redpoint,Trad,,90,1800
2025-12-19,Nappy,5.7,,https://www.mountainproject.com/route/105888362/nappy,1,"Tennessee > The Tennessee Wall > (6) The Amphitheater",2.6,-1,Lead,Redpoint,Trad,,90,1800
2025-12-19,"Plastic Toys",5.7,,https://www.mountainproject.com/route/105888813/plastic-toys,1,"Tennessee > The Tennessee Wall > (6) The Amphitheater",2.4,-1,Lead,Onsight,Trad,,100,1800
2025-12-13,"Open Sesame",5.9,,https://www.mountainproject.com/route/105903272/open-sesame,1,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",3.4,-1,TR,,Trad,,95,2400
2025-12-13,Crackattack,5.10a/b,"Great route!! Come back to lead ",https://www.mountainproject.com/route/105918980/crackattack,1,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",3.5,4,Follow,,Trad,,90,2800
2025-12-13,"Tribal Babysitter",5.8,"Great route! Def wanna extend your pieces ",https://www.mountainproject.com/route/106307014/tribal-babysitter,1,"Tennessee > The Tennessee Wall > (5) The Wasteland",2.9,3,Lead,Onsight,Trad,,90,2100
2025-12-13,"Path of the Misfits",5.8,,https://www.mountainproject.com/route/106366851/path-of-the-misfits,1,"Tennessee > The Tennessee Wall > (5) The Wasteland",2.1,-1,Lead,Onsight,Trad,,80,2100
2025-12-13,"One Slip",5.6,,https://www.mountainproject.com/route/108037588/one-slip,1,"Tennessee > The Tennessee Wall > (5) The Wasteland",2.0,-1,,,Trad,,75,1600
2025-12-08,"Dirt Bag",5.8,"Had to try the start three times then the rest was onsight. Great climb. ",https://www.mountainproject.com/route/105903325/dirt-bag,1,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",3.0,4,Lead,Redpoint,Trad,5.8+,90,2100
2025-12-08,Sanscrit,5.8,,https://www.mountainproject.com/route/105889140/sanscrit,1,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",2.8,-1,Lead,Onsight,Trad,,100,2100
2025-12-08,Passages,5.8,,https://www.mountainproject.com/route/105894863/passages,1,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",3.5,-1,Follow,,Trad,,90,2100
2025-12-08,"Prerequisite for Excellence",5.8,,https://www.mountainproject.com/route/105888371/prerequisite-for-excellence,1,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",3.4,-1,Lead,Onsight,Trad,,80,2100
2025-12-08,"Jay Walker",5.7,,https://www.mountainproject.com/route/105888375/jay-walker,1,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",3.0,4,Follow,,Trad,,90,1800
2025-12-07,Nappy,5.7,,https://www.mountainproject.com/route/105888362/nappy,1,"Tennessee > The Tennessee Wall > (6) The Amphitheater",2.6,-1,Lead,Onsight,Trad,,90,1800
2025-12-07,"Puppy Ride",5.9,"Had to try the start three times third times the charm",https://www.mountainproject.com/route/105895368/puppy-ride,1,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",3.2,-1,Lead,Redpoint,Trad,,100,2400
2025-12-07,Art,5.8,"Got scared at the crux",https://www.mountainproject.com/route/105935012/art,1,"Tennessee > The Tennessee Wall > (6) The Amphitheater",3.4,-1,Lead,Fell/Hung,Trad,,80,2100
2025-12-06,"Jody's Route (aka The Chris' Route)",5.10c/d,"Took a couple times but the roof isn’t that bad. Come back and lead this clean!!",https://www.mountainproject.com/route/105891570/jodys-route-aka-the-chris-route,1,"Tennessee > North Chick Gorge, Soddy TN > Leda > Upper Leda",3.6,-1,Lead,Fell/Hung,Sport,,70,3400
2025-12-06,"Girls Only",5.10a,,https://www.mountainproject.com/route/105890340/girls-only,1,"Tennessee > North Chick Gorge, Soddy TN > Leda > Upper Leda",3.1,-1,Lead,Onsight,Sport,,60,2600
2025-12-06,"Ox Crack",5.8,,https://www.mountainproject.com/route/106078886/ox-crack,1,"Tennessee > North Chick Gorge, Soddy TN > Leda > Upper Leda",3.0,-1,Lead,Onsight,Trad,,,2100
2025-12-06,"Old Foot",5.9+,"Tricky route finding ",https://www.mountainproject.com/route/105920634/old-foot,1,"Tennessee > North Chick Gorge, Soddy TN > Leda > Upper Leda",2.3,-1,Lead,Fell/Hung,Sport,,50,2500
2025-12-06,"University Route",5.6,,https://www.mountainproject.com/route/106375258/university-route,1,"Tennessee > North Chick Gorge, Soddy TN > Leda > Upper Leda",2.1,-1,Lead,Onsight,Sport,,40,1600
2025-11-29,"Slip Stream",5.7+,Fun!,https://www.mountainproject.com/route/105890185/slip-stream,1,"Tennessee > Sunset Park > Sunset North > a. The Towers > The Towers Main Crag",2.5,-1,Lead,Onsight,Trad,,60,1900
2025-11-29,"Stan's Crack",5.8+,"Onsighted 1st part! Fell in the crux of the second ",https://www.mountainproject.com/route/105957464/stans-crack,2,"Tennessee > Sunset Park > Sunset North > a. The Towers > The Towers Main Crag",3.7,-1,Lead,Onsight,Trad,,90,2200
2025-11-24,"Circus Circus",5.8,"Did variation for 2nd and 3rd pitch, let the 3rd (dirty) 5.7 pitch. Adventury top out, needs new tat around the tree for rapping off",https://www.mountainproject.com/route/105933651/circus-circus,2,"Tennessee > The Tennessee Wall > (5) The Wasteland",3.8,-1,Follow,,Trad,,110,2100
2025-11-23,Passages,5.8,"Crux is at the top, save a .5 and a .3",https://www.mountainproject.com/route/105894863/passages,1,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",3.5,-1,Lead,Onsight,Trad,,90,2100
2025-11-23,"In Pursuit of Excellence",5.9+,"Come back for this one!!",https://www.mountainproject.com/route/105902833/in-pursuit-of-excellence,1,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",3.7,-1,Lead,Fell/Hung,Trad,,90,2500
2025-11-23,Finagle,5.9,"Tronsight ",https://www.mountainproject.com/route/105903329/finagle,1,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",2.6,-1,TR,,Trad,,50,2400
2025-11-23,"Jay Walker",5.7,,https://www.mountainproject.com/route/105888375/jay-walker,1,"Tennessee > The Tennessee Wall > (7) Orange Blossom Wall",3.0,4,Lead,Onsight,Trad,,90,1800
2025-11-22,Art,5.8,"Glow stick night climb",https://www.mountainproject.com/route/105935012/art,1,"Tennessee > The Tennessee Wall > (6) The Amphitheater",3.4,-1,Follow,,Trad,,80,2100
2025-11-09,"Popular Science (Golden Flake)",5.9+,,https://www.mountainproject.com/route/106098687/popular-science-golden-flake,1,"Alabama > Cherokee Rock Village (Sand Rock) > Sun Wall",3.0,-1,TR,,"Trad, TR",,60,2500
2025-11-09,Misty,5.10b/c,,https://www.mountainproject.com/route/105905421/misty,1,"Alabama > Cherokee Rock Village (Sand Rock) > Sun Wall",3.7,-1,Lead,Onsight,Sport,,90,3100
